MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4,Stage
0.0,0.0,0.0,154.0,160.0,0.0,2.0,Cleaning
0.0,0.0,0.0,154.0,161.0,7.0,1.0,Cleaning
0.0,2.0,1.0,152.0,157.0,0.0,0.0,Cleaning
0.0,2.0,0.0,153.0,157.0,1.0,0.0,Cleaning
2.0,0.0,0.0,155.0,157.0,0.0,0.0,Cleaning
1.0,0.0,4.0,152.0,158.0,3.0,10.0,Cleaning
2.0,0.0,0.0,141.0,156.0,0.0,0.0,Cleaning
0.0,0.0,7.0,155.0,158.0,0.0,15.0,Cleaning
1.0,0.0,0.0,158.0,157.0,0.0,1.0,Cleaning
2.0,0.0,4.0,153.0,157.0,2.0,2.0,Cleaning
0.0,2.0,0.0,161.0,163.0,1.0,0.0,Cleaning
2.0,4.0,19.0,154.0,156.0,0.0,1.0,Cleaning
2.0,0.0,0.0,164.0,157.0,0.0,1.0,Cleaning
2.0,4.0,0.0,155.0,181.0,0.0,4.0,Cleaning
0.0,1.0,0.0,153.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,154.0,158.0,0.0,3.0,Cleaning
0.0,2.0,2.0,156.0,162.0,0.0,3.0,Cleaning
7.0,0.0,0.0,149.0,160.0,1.0,0.0,Cleaning
0.0,0.0,0.0,154.0,150.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,170.0,0.0,2.0,Cleaning
0.0,0.0,0.0,153.0,159.0,1.0,0.0,Cleaning
0.0,1.0,0.0,154.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,162.0,0.0,2.0,Cleaning
0.0,2.0,0.0,166.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,158.0,158.0,4.0,0.0,Cleaning
1.0,2.0,0.0,154.0,182.0,0.0,0.0,Cleaning
1.0,0.0,4.0,154.0,157.0,0.0,0.0,Cleaning
0.0,2.0,0.0,155.0,180.0,0.0,0.0,Cleaning
0.0,0.0,0.0,153.0,178.0,0.0,1.0,Cleaning
6.0,1.0,0.0,154.0,158.0,17.0,1.0,Cleaning
1.0,24.0,0.0,155.0,160.0,0.0,0.0,Cleaning
0.0,0.0,8.0,155.0,158.0,2.0,0.0,Cleaning
0.0,0.0,0.0,153.0,159.0,0.0,1.0,Cleaning
2.0,0.0,0.0,152.0,158.0,0.0,2.0,Cleaning
5.0,1.0,0.0,149.0,157.0,1.0,34.0,Cleaning
0.0,2.0,0.0,153.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,155.0,148.0,0.0,0.0,Cleaning
1.0,0.0,0.0,154.0,158.0,1.0,0.0,Cleaning
0.0,3.0,0.0,155.0,158.0,0.0,1.0,Cleaning
0.0,0.0,2.0,153.0,157.0,0.0,36.0,Cleaning
16.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
4.0,0.0,0.0,151.0,159.0,22.0,0.0,Cleaning
0.0,0.0,4.0,153.0,158.0,0.0,0.0,Cleaning
1.0,1.0,3.0,154.0,158.0,0.0,14.0,Cleaning
0.0,0.0,0.0,154.0,158.0,0.0,8.0,Cleaning
1.0,0.0,1.0,151.0,157.0,0.0,8.0,Cleaning
0.0,0.0,0.0,156.0,161.0,0.0,0.0,Cleaning
2.0,1.0,0.0,161.0,159.0,0.0,23.0,Cleaning
0.0,1.0,2.0,153.0,158.0,10.0,1.0,Cleaning
0.0,0.0,0.0,153.0,157.0,0.0,0.0,Cleaning
0.0,2.0,3.0,153.0,157.0,0.0,1.0,Cleaning
0.0,0.0,1.0,153.0,157.0,1.0,7.0,Cleaning
0.0,0.0,0.0,153.0,162.0,0.0,0.0,Cleaning
0.0,0.0,0.0,153.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,163.0,158.0,0.0,0.0,Cleaning
1.0,1.0,0.0,153.0,157.0,0.0,1.0,Cleaning
2.0,0.0,0.0,154.0,157.0,0.0,0.0,Cleaning
0.0,1.0,12.0,155.0,158.0,3.0,0.0,Cleaning
0.0,1.0,1.0,154.0,157.0,1.0,0.0,Cleaning
2.0,0.0,0.0,154.0,157.0,9.0,0.0,Cleaning
1.0,1.0,1.0,154.0,158.0,0.0,0.0,Cleaning
0.0,2.0,2.0,155.0,161.0,1.0,0.0,Cleaning
0.0,0.0,0.0,147.0,158.0,0.0,16.0,Cleaning
2.0,0.0,0.0,153.0,151.0,0.0,0.0,Cleaning
2.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
1.0,0.0,0.0,156.0,156.0,23.0,0.0,Cleaning
0.0,0.0,0.0,153.0,165.0,0.0,0.0,Cleaning
1.0,0.0,0.0,153.0,154.0,0.0,1.0,Cleaning
0.0,1.0,0.0,150.0,162.0,1.0,0.0,Cleaning
0.0,0.0,0.0,152.0,158.0,2.0,0.0,Cleaning
0.0,1.0,0.0,153.0,159.0,0.0,0.0,Cleaning
0.0,3.0,1.0,153.0,164.0,3.0,0.0,Cleaning
1.0,0.0,4.0,150.0,158.0,1.0,0.0,Cleaning
2.0,0.0,5.0,154.0,158.0,0.0,0.0,Cleaning
0.0,1.0,0.0,155.0,158.0,0.0,0.0,Cleaning
1.0,0.0,0.0,155.0,157.0,0.0,0.0,Cleaning
2.0,1.0,1.0,156.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
1.0,0.0,0.0,156.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,160.0,0.0,0.0,Cleaning
1.0,2.0,0.0,163.0,162.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,156.0,0.0,11.0,Cleaning
1.0,4.0,0.0,153.0,157.0,0.0,1.0,Cleaning
0.0,3.0,0.0,170.0,159.0,0.0,0.0,Cleaning
0.0,2.0,0.0,155.0,154.0,0.0,0.0,Cleaning
4.0,1.0,0.0,154.0,157.0,0.0,1.0,Cleaning
0.0,1.0,0.0,154.0,162.0,1.0,0.0,Cleaning
2.0,1.0,1.0,151.0,159.0,0.0,1.0,Cleaning
7.0,2.0,0.0,156.0,158.0,0.0,0.0,Cleaning
1.0,4.0,0.0,153.0,159.0,0.0,0.0,Cleaning
2.0,0.0,2.0,164.0,157.0,0.0,0.0,Cleaning
0.0,12.0,1.0,167.0,159.0,0.0,1.0,Cleaning
2.0,0.0,3.0,153.0,159.0,0.0,1.0,Cleaning
0.0,0.0,0.0,153.0,156.0,1.0,4.0,Cleaning
0.0,0.0,0.0,152.0,159.0,0.0,0.0,Cleaning
0.0,0.0,0.0,153.0,154.0,0.0,1.0,Cleaning
0.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
1.0,1.0,0.0,151.0,160.0,2.0,0.0,Cleaning
0.0,4.0,3.0,155.0,154.0,1.0,20.0,Cleaning
3.0,0.0,0.0,154.0,159.0,0.0,0.0,Cleaning
2.0,0.0,0.0,153.0,158.0,3.0,0.0,Cleaning
0.0,0.0,1.0,153.0,155.0,0.0,0.0,Cleaning
1.0,0.0,0.0,152.0,158.0,0.0,0.0,Cleaning
1.0,0.0,4.0,154.0,158.0,0.0,0.0,Cleaning
2.0,0.0,5.0,160.0,157.0,0.0,0.0,Cleaning
0.0,2.0,0.0,154.0,158.0,0.0,1.0,Cleaning
0.0,1.0,0.0,154.0,157.0,26.0,0.0,Cleaning
2.0,0.0,0.0,157.0,158.0,0.0,6.0,Cleaning
0.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
8.0,1.0,3.0,153.0,160.0,0.0,1.0,Cleaning
3.0,0.0,1.0,154.0,164.0,0.0,1.0,Cleaning
2.0,0.0,0.0,153.0,161.0,0.0,7.0,Cleaning
0.0,0.0,0.0,155.0,162.0,0.0,1.0,Cleaning
1.0,2.0,0.0,176.0,159.0,0.0,0.0,Cleaning
1.0,13.0,0.0,152.0,157.0,0.0,0.0,Cleaning
0.0,1.0,1.0,155.0,161.0,1.0,1.0,Cleaning
4.0,0.0,1.0,154.0,157.0,1.0,0.0,Cleaning
0.0,0.0,0.0,147.0,157.0,0.0,1.0,Cleaning
0.0,0.0,1.0,167.0,158.0,0.0,0.0,Cleaning
1.0,0.0,0.0,154.0,157.0,2.0,0.0,Cleaning
0.0,0.0,7.0,153.0,159.0,0.0,0.0,Cleaning
5.0,0.0,1.0,152.0,157.0,2.0,0.0,Cleaning
0.0,1.0,5.0,154.0,157.0,0.0,0.0,Cleaning
2.0,0.0,0.0,154.0,153.0,1.0,4.0,Cleaning
8.0,0.0,0.0,153.0,153.0,0.0,0.0,Cleaning
0.0,1.0,5.0,155.0,166.0,0.0,4.0,Cleaning
4.0,0.0,1.0,153.0,159.0,0.0,2.0,Cleaning
3.0,0.0,0.0,155.0,161.0,0.0,2.0,Cleaning
0.0,1.0,0.0,146.0,158.0,0.0,2.0,Cleaning
1.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
1.0,0.0,0.0,153.0,176.0,0.0,0.0,Cleaning
0.0,7.0,1.0,153.0,181.0,0.0,1.0,Cleaning
0.0,1.0,0.0,153.0,155.0,0.0,2.0,Cleaning
1.0,0.0,1.0,173.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,150.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,150.0,157.0,0.0,1.0,Cleaning
0.0,1.0,0.0,153.0,158.0,0.0,0.0,Cleaning
0.0,1.0,0.0,152.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,156.0,157.0,27.0,0.0,Cleaning
0.0,1.0,0.0,154.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,152.0,158.0,1.0,0.0,Cleaning
0.0,2.0,0.0,154.0,158.0,2.0,0.0,Cleaning
4.0,2.0,0.0,155.0,157.0,0.0,3.0,Cleaning
1.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
6.0,0.0,11.0,158.0,158.0,0.0,2.0,Cleaning
10.0,1.0,2.0,157.0,161.0,0.0,0.0,Cleaning
0.0,3.0,0.0,153.0,158.0,0.0,1.0,Cleaning
0.0,0.0,0.0,152.0,158.0,0.0,0.0,Cleaning
0.0,0.0,10.0,153.0,159.0,0.0,0.0,Cleaning
3.0,0.0,1.0,152.0,158.0,15.0,2.0,Cleaning
1.0,0.0,0.0,153.0,156.0,0.0,23.0,Cleaning
1.0,1.0,0.0,154.0,157.0,2.0,0.0,Cleaning
2.0,1.0,0.0,155.0,158.0,1.0,0.0,Cleaning
0.0,0.0,2.0,155.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,150.0,157.0,0.0,1.0,Cleaning
3.0,0.0,2.0,153.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,152.0,155.0,6.0,0.0,Cleaning
0.0,0.0,0.0,151.0,159.0,0.0,0.0,Cleaning
0.0,0.0,1.0,153.0,159.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
2.0,1.0,0.0,153.0,160.0,0.0,19.0,Cleaning
0.0,1.0,15.0,161.0,179.0,0.0,0.0,Cleaning
1.0,2.0,0.0,154.0,156.0,0.0,0.0,Cleaning
1.0,0.0,0.0,155.0,150.0,1.0,0.0,Cleaning
0.0,0.0,0.0,154.0,155.0,0.0,0.0,Cleaning
1.0,2.0,1.0,154.0,158.0,0.0,0.0,Cleaning
0.0,2.0,0.0,146.0,159.0,0.0,0.0,Cleaning
1.0,0.0,0.0,152.0,158.0,0.0,1.0,Cleaning
0.0,0.0,0.0,156.0,158.0,3.0,0.0,Cleaning
2.0,0.0,0.0,154.0,146.0,0.0,31.0,Cleaning
0.0,0.0,12.0,156.0,158.0,2.0,0.0,Cleaning
1.0,0.0,0.0,149.0,158.0,1.0,0.0,Cleaning
1.0,0.0,7.0,156.0,157.0,0.0,0.0,Cleaning
0.0,1.0,3.0,156.0,157.0,0.0,1.0,Cleaning
1.0,0.0,0.0,154.0,159.0,9.0,1.0,Cleaning
0.0,0.0,0.0,153.0,159.0,0.0,0.0,Cleaning
0.0,2.0,0.0,153.0,163.0,2.0,0.0,Cleaning
1.0,3.0,0.0,153.0,158.0,0.0,24.0,Cleaning
1.0,2.0,0.0,154.0,159.0,0.0,0.0,Cleaning
0.0,0.0,2.0,153.0,158.0,1.0,0.0,Cleaning
0.0,0.0,4.0,154.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,154.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,155.0,158.0,1.0,5.0,Cleaning
1.0,0.0,0.0,154.0,181.0,0.0,0.0,Cleaning
0.0,0.0,0.0,171.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
1.0,1.0,0.0,154.0,157.0,1.0,0.0,Cleaning
1.0,1.0,0.0,153.0,151.0,0.0,0.0,Cleaning
2.0,0.0,1.0,155.0,157.0,0.0,0.0,Cleaning
2.0,4.0,0.0,153.0,160.0,5.0,0.0,Cleaning
0.0,1.0,6.0,153.0,162.0,1.0,14.0,Cleaning
1.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
9.0,2.0,0.0,153.0,156.0,0.0,0.0,Cleaning
2.0,11.0,0.0,152.0,157.0,1.0,0.0,Cleaning
0.0,1.0,5.0,153.0,163.0,0.0,0.0,Cleaning
0.0,2.0,0.0,153.0,158.0,0.0,0.0,Cleaning
4.0,1.0,0.0,152.0,157.0,0.0,5.0,Cleaning
3.0,0.0,0.0,150.0,159.0,0.0,0.0,Cleaning
1.0,1.0,3.0,153.0,159.0,0.0,36.0,Cleaning
0.0,1.0,0.0,155.0,155.0,0.0,0.0,Cleaning
0.0,0.0,0.0,174.0,157.0,1.0,3.0,Cleaning
8.0,1.0,1.0,154.0,158.0,0.0,0.0,Cleaning
1.0,2.0,0.0,172.0,157.0,0.0,4.0,Cleaning
0.0,1.0,0.0,155.0,158.0,0.0,3.0,Cleaning
0.0,0.0,0.0,154.0,160.0,0.0,4.0,Cleaning
1.0,0.0,0.0,152.0,158.0,1.0,0.0,Cleaning
1.0,0.0,0.0,154.0,154.0,0.0,31.0,Cleaning
1.0,1.0,0.0,154.0,159.0,0.0,0.0,Cleaning
1.0,0.0,0.0,152.0,157.0,6.0,2.0,Cleaning
3.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
2.0,8.0,0.0,152.0,157.0,0.0,1.0,Cleaning
0.0,1.0,0.0,154.0,158.0,0.0,0.0,Cleaning
0.0,0.0,1.0,153.0,157.0,0.0,0.0,Cleaning
0.0,14.0,1.0,153.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,155.0,158.0,8.0,0.0,Cleaning
0.0,0.0,4.0,153.0,170.0,2.0,0.0,Cleaning
0.0,1.0,0.0,154.0,158.0,0.0,4.0,Cleaning
0.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
1.0,9.0,0.0,154.0,157.0,0.0,23.0,Cleaning
0.0,2.0,1.0,154.0,158.0,0.0,0.0,Cleaning
1.0,0.0,0.0,148.0,167.0,0.0,1.0,Cleaning
0.0,0.0,0.0,153.0,163.0,0.0,0.0,Cleaning
0.0,0.0,0.0,155.0,158.0,0.0,0.0,Cleaning
0.0,0.0,8.0,154.0,165.0,15.0,0.0,Cleaning
1.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
0.0,6.0,20.0,152.0,158.0,1.0,1.0,Cleaning
2.0,0.0,0.0,153.0,153.0,0.0,0.0,Cleaning
0.0,2.0,0.0,152.0,158.0,0.0,0.0,Cleaning
0.0,1.0,0.0,152.0,158.0,0.0,1.0,Cleaning
1.0,0.0,0.0,153.0,160.0,0.0,0.0,Cleaning
0.0,12.0,0.0,158.0,159.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,157.0,0.0,0.0,Cleaning
0.0,2.0,0.0,155.0,158.0,0.0,0.0,Cleaning
18.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
3.0,2.0,2.0,153.0,159.0,0.0,0.0,Cleaning
5.0,0.0,0.0,156.0,156.0,0.0,3.0,Cleaning
0.0,0.0,0.0,160.0,178.0,1.0,0.0,Cleaning
0.0,1.0,0.0,154.0,158.0,0.0,0.0,Cleaning
0.0,1.0,9.0,153.0,158.0,0.0,1.0,Cleaning
3.0,2.0,0.0,155.0,157.0,11.0,0.0,Cleaning
4.0,0.0,15.0,155.0,158.0,0.0,9.0,Cleaning
0.0,1.0,8.0,154.0,158.0,0.0,0.0,Cleaning
0.0,17.0,0.0,153.0,158.0,0.0,0.0,Cleaning
0.0,5.0,0.0,152.0,157.0,0.0,22.0,Cleaning
0.0,0.0,2.0,163.0,157.0,0.0,0.0,Cleaning
0.0,23.0,0.0,167.0,160.0,0.0,2.0,Cleaning
0.0,21.0,8.0,154.0,158.0,0.0,0.0,Cleaning
0.0,0.0,12.0,154.0,158.0,0.0,0.0,Cleaning
0.0,23.0,11.0,154.0,154.0,2.0,0.0,Cleaning
3.0,0.0,0.0,154.0,150.0,0.0,0.0,Cleaning
1.0,1.0,0.0,154.0,158.0,0.0,1.0,Cleaning
1.0,0.0,0.0,154.0,160.0,0.0,0.0,Cleaning
2.0,8.0,5.0,154.0,160.0,1.0,0.0,Cleaning
0.0,0.0,0.0,153.0,158.0,8.0,0.0,Cleaning
1.0,0.0,1.0,156.0,157.0,1.0,0.0,Cleaning
1.0,0.0,0.0,152.0,147.0,0.0,0.0,Cleaning
2.0,2.0,0.0,157.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,154.0,160.0,0.0,0.0,Cleaning
4.0,0.0,3.0,157.0,158.0,0.0,0.0,Cleaning
1.0,0.0,2.0,151.0,158.0,3.0,0.0,Cleaning
0.0,1.0,29.0,156.0,184.0,0.0,4.0,Cleaning
2.0,1.0,0.0,154.0,155.0,0.0,0.0,Cleaning
0.0,0.0,0.0,166.0,158.0,0.0,0.0,Cleaning
0.0,4.0,0.0,166.0,158.0,0.0,1.0,Cleaning
0.0,0.0,0.0,155.0,164.0,0.0,0.0,Cleaning
0.0,1.0,0.0,153.0,159.0,0.0,1.0,Cleaning
1.0,0.0,6.0,152.0,145.0,2.0,0.0,Cleaning
2.0,0.0,0.0,154.0,177.0,3.0,0.0,Cleaning
0.0,19.0,1.0,154.0,156.0,0.0,0.0,Cleaning
0.0,2.0,0.0,154.0,160.0,0.0,0.0,Cleaning
0.0,9.0,0.0,167.0,160.0,4.0,0.0,Cleaning
2.0,1.0,0.0,158.0,160.0,0.0,3.0,Cleaning
0.0,0.0,1.0,153.0,157.0,2.0,0.0,Cleaning
0.0,0.0,0.0,153.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
4.0,2.0,0.0,155.0,158.0,0.0,4.0,Cleaning
0.0,1.0,0.0,153.0,157.0,25.0,0.0,Cleaning
0.0,4.0,2.0,146.0,158.0,0.0,4.0,Cleaning
1.0,0.0,0.0,153.0,159.0,1.0,0.0,Cleaning
1.0,24.0,2.0,156.0,158.0,0.0,0.0,Cleaning
0.0,2.0,0.0,154.0,156.0,0.0,0.0,Cleaning
0.0,1.0,0.0,162.0,157.0,0.0,0.0,Cleaning
4.0,1.0,2.0,157.0,158.0,2.0,0.0,Cleaning
0.0,2.0,0.0,153.0,158.0,0.0,0.0,Cleaning
13.0,0.0,4.0,146.0,160.0,1.0,0.0,Cleaning
1.0,0.0,0.0,151.0,158.0,0.0,0.0,Cleaning
2.0,0.0,5.0,155.0,150.0,0.0,0.0,Cleaning
0.0,1.0,1.0,153.0,157.0,0.0,0.0,Cleaning
11.0,2.0,0.0,154.0,158.0,0.0,0.0,Cleaning
2.0,0.0,10.0,154.0,157.0,0.0,0.0,Cleaning
0.0,0.0,1.0,154.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,181.0,0.0,0.0,Cleaning
1.0,1.0,4.0,153.0,157.0,0.0,0.0,Cleaning
5.0,0.0,0.0,155.0,157.0,0.0,0.0,Cleaning
0.0,0.0,2.0,154.0,157.0,6.0,0.0,Cleaning
0.0,0.0,0.0,153.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,172.0,180.0,0.0,0.0,Cleaning
0.0,6.0,0.0,154.0,158.0,0.0,0.0,Cleaning
1.0,0.0,1.0,151.0,156.0,0.0,0.0,Cleaning
1.0,2.0,0.0,153.0,155.0,1.0,0.0,Cleaning
0.0,2.0,0.0,154.0,158.0,0.0,0.0,Cleaning
0.0,1.0,1.0,157.0,158.0,0.0,2.0,Cleaning
1.0,1.0,0.0,154.0,157.0,25.0,0.0,Cleaning
0.0,0.0,0.0,153.0,155.0,15.0,3.0,Cleaning
2.0,0.0,3.0,154.0,158.0,1.0,0.0,Cleaning
0.0,0.0,0.0,152.0,157.0,0.0,0.0,Cleaning
9.0,1.0,3.0,153.0,163.0,0.0,0.0,Cleaning
0.0,0.0,3.0,153.0,157.0,1.0,0.0,Cleaning
0.0,26.0,0.0,154.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,153.0,158.0,1.0,0.0,Cleaning
1.0,0.0,0.0,152.0,158.0,0.0,9.0,Cleaning
0.0,2.0,0.0,153.0,159.0,0.0,0.0,Cleaning
0.0,0.0,1.0,156.0,155.0,14.0,1.0,Cleaning
0.0,0.0,0.0,162.0,180.0,0.0,0.0,Cleaning
0.0,0.0,0.0,153.0,157.0,1.0,0.0,Cleaning
0.0,0.0,6.0,149.0,157.0,1.0,0.0,Cleaning
0.0,1.0,0.0,152.0,158.0,0.0,0.0,Cleaning
0.0,1.0,9.0,153.0,158.0,0.0,1.0,Cleaning
0.0,0.0,0.0,155.0,158.0,0.0,0.0,Cleaning
1.0,3.0,2.0,153.0,158.0,0.0,4.0,Cleaning
0.0,1.0,0.0,154.0,157.0,1.0,0.0,Cleaning
0.0,1.0,0.0,154.0,157.0,1.0,0.0,Cleaning
1.0,1.0,0.0,154.0,157.0,0.0,0.0,Cleaning
1.0,0.0,0.0,153.0,159.0,0.0,0.0,Cleaning
1.0,2.0,0.0,153.0,158.0,1.0,0.0,Cleaning
0.0,0.0,4.0,155.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,150.0,158.0,19.0,0.0,Exposure
1.0,0.0,0.0,151.0,157.0,2.0,0.0,Exposure
0.0,1.0,11.0,154.0,157.0,1.0,0.0,Exposure
0.0,2.0,0.0,156.0,159.0,3.0,0.0,Exposure
0.0,6.0,0.0,154.0,158.0,1.0,0.0,Exposure
1.0,0.0,0.0,154.0,180.0,0.0,0.0,Exposure
2.0,0.0,0.0,153.0,157.0,0.0,17.0,Exposure
0.0,9.0,0.0,153.0,156.0,0.0,1.0,Exposure
5.0,1.0,0.0,154.0,158.0,0.0,0.0,Exposure
0.0,0.0,0.0,153.0,157.0,0.0,0.0,Exposure
0.0,8.0,0.0,153.0,160.0,0.0,0.0,Exposure
1.0,0.0,3.0,154.0,159.0,0.0,0.0,Exposure
0.0,0.0,2.0,154.0,158.0,8.0,0.0,Exposure
9.0,0.0,2.0,155.0,157.0,0.0,1.0,Exposure
0.0,1.0,0.0,157.0,160.0,0.0,0.0,Exposure
0.0,1.0,0.0,154.0,158.0,8.0,0.0,Exposure
0.0,11.0,1.0,149.0,158.0,0.0,0.0,Exposure
0.0,0.0,0.0,153.0,158.0,0.0,0.0,Exposure
0.0,0.0,0.0,152.0,158.0,1.0,0.0,Exposure
0.0,1.0,0.0,176.0,158.0,3.0,9.0,Exposure
1.0,3.0,1.0,153.0,156.0,1.0,0.0,Exposure
1.0,0.0,2.0,155.0,159.0,1.0,1.0,Exposure
1.0,0.0,0.0,155.0,158.0,4.0,0.0,Exposure
0.0,0.0,0.0,155.0,158.0,1.0,0.0,Exposure
0.0,6.0,5.0,154.0,158.0,0.0,3.0,Exposure
0.0,0.0,0.0,154.0,174.0,0.0,0.0,Exposure
